N bc_time wc_time
10 0.000000 0.000000
20 0.000000 0.000000
30 0.000000 0.000000
40 0.000000 0.000000
50 0.000000 0.000001
60 0.000000 0.000001
70 0.000000 0.000002
80 0.000000 0.000002
90 0.000000 0.000003
100 0.000000 0.000004
110 0.000000 0.000004
120 0.000000 0.000005
130 0.000000 0.000006
140 0.000000 0.000008
150 0.000000 0.000009
160 0.000000 0.000010
170 0.000000 0.000012
180 0.000000 0.000009
190 0.000000 0.000006
200 0.000000 0.000006
210 0.000000 0.000007
220 0.000000 0.000007
230 0.000000 0.000008
240 0.000000 0.000009
250 0.000000 0.000010
260 0.000000 0.000011
270 0.000000 0.000011
280 0.000000 0.000011
290 0.000000 0.000013
300 0.000000 0.000013
310 0.000000 0.000013
320 0.000000 0.000016
330 0.000000 0.000017
340 0.000000 0.000017
350 0.000000 0.000018
360 0.000000 0.000018
370 0.000000 0.000021
380 0.000000 0.000022
390 0.000000 0.000022
400 0.000000 0.000023
410 0.000000 0.000025
420 0.000000 0.000025
430 0.000000 0.000027
440 0.000000 0.000027
450 0.000000 0.000030
460 0.000000 0.000031
470 0.000000 0.000031
480 0.000000 0.000032
490 0.000000 0.000034
500 0.000000 0.000034
510 0.000000 0.000036
520 0.000000 0.000041
530 0.000000 0.000039
540 0.000000 0.000039
550 0.000000 0.000044
560 0.000000 0.000044
570 0.000000 0.000047
580 0.000000 0.000048
590 0.000000 0.000049
600 0.000000 0.000049
610 0.000000 0.000052
620 0.000001 0.000054
630 0.000000 0.000055
640 0.000000 0.000057
650 0.000000 0.000062
660 0.000000 0.000059
670 0.000000 0.000062
680 0.000000 0.000063
690 0.000000 0.000067
700 0.000000 0.000068
710 0.000000 0.000068
720 0.000000 0.000072
730 0.000001 0.000074
740 0.000001 0.000073
750 0.000001 0.000078
760 0.000000 0.000080
770 0.000000 0.000082
780 0.000001 0.000083
790 0.000001 0.000086
800 0.000001 0.000088
810 0.000001 0.000092
820 0.000001 0.000090
830 0.000001 0.000094
840 0.000001 0.000096
850 0.000001 0.000101
860 0.000001 0.000103
870 0.000001 0.000105
880 0.000001 0.000107
890 0.000001 0.000108
900 0.000001 0.000111
910 0.000001 0.000112
920 0.000001 0.000116
930 0.000001 0.000119
940 0.000001 0.000122
950 0.000001 0.000125
960 0.000001 0.000127
970 0.000001 0.000130
980 0.000001 0.000129
990 0.000001 0.000134
1000 0.000001 0.000135
1010 0.000001 0.000137
1020 0.000001 0.000141
1030 0.000001 0.000147
1040 0.000001 0.000149
1050 0.000001 0.000151
1060 0.000001 0.000151
1070 0.000001 0.000154
1080 0.000001 0.000157
1090 0.000001 0.000162
1100 0.000001 0.000166
1110 0.000001 0.000169
1120 0.000001 0.000170
1130 0.000001 0.000178
1140 0.000001 0.000174
1150 0.000001 0.000177
1160 0.000001 0.000181
1170 0.000001 0.000187
1180 0.000001 0.000186
1190 0.000001 0.000190
1200 0.000001 0.000196
1210 0.000001 0.000200
1220 0.000001 0.000198
1230 0.000001 0.000202
1240 0.000001 0.000207
1250 0.000001 0.000211
1260 0.000001 0.000217
1270 0.000001 0.000216
1280 0.000001 0.000217
1290 0.000001 0.000222
1300 0.000001 0.000224
1310 0.000001 0.000231
1320 0.000001 0.000235
1330 0.000001 0.000240
1340 0.000001 0.000238
1350 0.000001 0.000242
1360 0.000001 0.000246
1370 0.000001 0.000252
1380 0.000001 0.000256
1390 0.000001 0.000260
1400 0.000001 0.000265
1410 0.000001 0.000267
1420 0.000001 0.000271
1430 0.000001 0.000274
1440 0.000001 0.000280
1450 0.000001 0.000281
1460 0.000001 0.000286
1470 0.000001 0.000286
1480 0.000001 0.000289
1490 0.000001 0.000297
1500 0.000001 0.000301
1510 0.000001 0.000302
1520 0.000001 0.000305
1530 0.000001 0.000314
1540 0.000001 0.000317
1550 0.000001 0.000318
1560 0.000001 0.000325
1570 0.000001 0.000329
1580 0.000001 0.000334
1590 0.000001 0.000337
1600 0.000001 0.000341
1610 0.000001 0.000345
1620 0.000001 0.000350
1630 0.000001 0.000353
1640 0.000001 0.000357
1650 0.000001 0.000360
1660 0.000001 0.000363
1670 0.000001 0.000368
1680 0.000001 0.000374
1690 0.000001 0.000376
1700 0.000001 0.000380
1710 0.000001 0.000387
1720 0.000001 0.000391
1730 0.000001 0.000395
1740 0.000001 0.000402
1750 0.000001 0.000407
1760 0.000001 0.000412
1770 0.000001 0.000414
1780 0.000001 0.000421
1790 0.000001 0.000426
1800 0.000001 0.000431
1810 0.000001 0.000435
1820 0.000001 0.000438
1830 0.000001 0.000445
1840 0.000001 0.000449
1850 0.000001 0.000454
1860 0.000001 0.000458
1870 0.000001 0.000458
1880 0.000001 0.000464
1890 0.000001 0.000467
1900 0.000001 0.000477
1910 0.000001 0.000477
1920 0.000001 0.000483
1930 0.000001 0.000490
1940 0.000001 0.000496
1950 0.000001 0.000498
1960 0.000001 0.000504
1970 0.000001 0.000508
1980 0.000001 0.000519
1990 0.000001 0.000524
2000 0.000001 0.000528
2010 0.000001 0.000532
2020 0.000001 0.000539
2030 0.000001 0.000543
2040 0.000001 0.000549
2050 0.000001 0.000549
2060 0.000001 0.000555
2070 0.000001 0.000560
2080 0.000001 0.000569
2090 0.000001 0.000576
2100 0.000001 0.000581
2110 0.000001 0.000585
2120 0.000001 0.000589
2130 0.000001 0.000593
2140 0.000001 0.000598
2150 0.000001 0.000605
2160 0.000001 0.000611
2170 0.000001 0.000615
2180 0.000001 0.000620
2190 0.000001 0.000625
2200 0.000001 0.000633
2210 0.000001 0.000642
2220 0.000001 0.000647
2230 0.000001 0.000652
2240 0.000001 0.000660
2250 0.000001 0.000663
2260 0.000001 0.000675
2270 0.000001 0.000675
2280 0.000001 0.000681
2290 0.000001 0.000688
2300 0.000001 0.000692
2310 0.000001 0.000700
2320 0.000001 0.000708
2330 0.000001 0.000711
2340 0.000001 0.000713
2350 0.000001 0.000719
2360 0.000002 0.000724
2370 0.000001 0.000733
2380 0.000001 0.000743
2390 0.000001 0.000743
2400 0.000001 0.000724
2410 0.000001 0.000747
2420 0.000001 0.000762
2430 0.000001 0.000768
2440 0.000001 0.000775
2450 0.000001 0.000782
2460 0.000001 0.000786
2470 0.000002 0.000794
2480 0.000001 0.000799
2490 0.000001 0.000813
2500 0.000001 0.000815
2510 0.000001 0.000824
2520 0.000001 0.000826
2530 0.000001 0.000832
2540 0.000002 0.000839
2550 0.000001 0.000845
2560 0.000001 0.000855
2570 0.000001 0.000864
2580 0.000002 0.000865
2590 0.000001 0.000873
2600 0.000002 0.000878
2610 0.000001 0.000885
2620 0.000002 0.000894
2630 0.000002 0.000907
2640 0.000002 0.000908
2650 0.000001 0.000919
2660 0.000002 0.000919
2670 0.000002 0.000926
2680 0.000002 0.000932
2690 0.000002 0.000940
2700 0.000002 0.000947
2710 0.000002 0.000953
2720 0.000002 0.000959
2730 0.000002 0.000969
2740 0.000002 0.000980
2750 0.000002 0.000984
2760 0.000002 0.000988
2770 0.000002 0.000996
2780 0.000002 0.001003
2790 0.000002 0.001008
2800 0.000002 0.001021
2810 0.000002 0.001031
2820 0.000002 0.001034
2830 0.000002 0.001040
2840 0.000002 0.001047
2850 0.000002 0.001054
2860 0.000002 0.001060
2870 0.000002 0.001068
2880 0.000002 0.001081
2890 0.000002 0.001091
2900 0.000002 0.001094
2910 0.000002 0.001101
2920 0.000002 0.001114
2930 0.000002 0.001119
2940 0.000002 0.001125
2950 0.000002 0.001139
2960 0.000002 0.001142
2970 0.000002 0.001150
2980 0.000002 0.001157
2990 0.000002 0.001165
3000 0.000002 0.001169
3010 0.000002 0.001176
3020 0.000002 0.001186
3030 0.000002 0.001190
3040 0.000002 0.001201
3050 0.000002 0.001212
3060 0.000002 0.001220
3070 0.000002 0.001221
3080 0.000002 0.001239
3090 0.000002 0.001237
3100 0.000002 0.001244
3110 0.000002 0.001252
3120 0.000002 0.001268
3130 0.000002 0.001271
3140 0.000002 0.001280
3150 0.000002 0.001286
3160 0.000002 0.001294
3170 0.000002 0.001304
3180 0.000002 0.001313
3190 0.000002 0.001320
3200 0.000002 0.001326
3210 0.000002 0.001340
3220 0.000002 0.001348
3230 0.000002 0.001357
3240 0.000002 0.001363
3250 0.000002 0.001370
3260 0.000003 0.001382
3270 0.000002 0.001385
3280 0.000002 0.001400
3290 0.000002 0.001406
3300 0.000002 0.001417
3310 0.000002 0.001424
3320 0.000002 0.001425
3330 0.000002 0.001437
3340 0.000002 0.001445
3350 0.000002 0.001452
3360 0.000002 0.001464
3370 0.000002 0.001470
3380 0.000002 0.001477
3390 0.000002 0.001485
3400 0.000002 0.001502
3410 0.000002 0.001505
3420 0.000002 0.001516
3430 0.000002 0.001522
3440 0.000002 0.001531
3450 0.000002 0.001548
3460 0.000002 0.001553
3470 0.000002 0.001561
3480 0.000002 0.001574
3490 0.000002 0.001580
3500 0.000002 0.001584
3510 0.000002 0.001594
3520 0.000002 0.001607
3530 0.000002 0.001620
3540 0.000002 0.001627
3550 0.000002 0.001637
3560 0.000003 0.001639
3570 0.000002 0.001655
3580 0.000002 0.001662
3590 0.000002 0.001674
3600 0.000002 0.001682
3610 0.000002 0.001688
3620 0.000002 0.001690
3630 0.000002 0.001702
3640 0.000002 0.001711
3650 0.000002 0.001719
3660 0.000002 0.001736
3670 0.000002 0.001743
3680 0.000002 0.001745
3690 0.000002 0.001757
3700 0.000002 0.001769
3710 0.000002 0.001779
3720 0.000002 0.001784
3730 0.000002 0.001799
3740 0.000002 0.001803
3750 0.000002 0.001818
3760 0.000002 0.001833
3770 0.000002 0.001839
3780 0.000002 0.001842
3790 0.000002 0.001853
3800 0.000002 0.001861
3810 0.000002 0.001876
3820 0.000002 0.001889
3830 0.000002 0.001898
3840 0.000002 0.001902
3850 0.000002 0.001911
3860 0.000002 0.001921
3870 0.000002 0.001937
3880 0.000002 0.001951
3890 0.000002 0.001961
3900 0.000002 0.001966
3910 0.000002 0.001980
3920 0.000002 0.001982
3930 0.000003 0.001994
3940 0.000002 0.002004
3950 0.000002 0.002015
3960 0.000002 0.002025
3970 0.000002 0.002035
3980 0.000002 0.002050
3990 0.000002 0.002055
4000 0.000002 0.002063
4010 0.000002 0.002071
4020 0.000002 0.002087
4030 0.000002 0.002097
4040 0.000002 0.002109
4050 0.000002 0.002119
4060 0.000002 0.002127
4070 0.000002 0.002138
4080 0.000002 0.002144
4090 0.000002 0.002161
4100 0.000002 0.002164
4110 0.000002 0.002176
4120 0.000003 0.002188
4130 0.000002 0.002204
4140 0.000002 0.002218
4150 0.000002 0.002223
4160 0.000002 0.002239
4170 0.000002 0.002251
4180 0.000002 0.002256
4190 0.000002 0.002269
4200 0.000002 0.002276
4210 0.000002 0.002287
4220 0.000002 0.002342
4230 0.000002 0.002339
4240 0.000002 0.002331
4250 0.000002 0.002316
4260 0.000002 0.002341
4270 0.000002 0.002383
4280 0.000002 0.004025
4290 0.000010 0.002912
4300 0.000003 0.002438
4310 0.000003 0.002406
4320 0.000004 0.002429
4330 0.000002 0.002430
4340 0.000003 0.002435
4350 0.000003 0.002401
4360 0.000003 0.002462
4370 0.000003 0.002473
4380 0.000003 0.002494
4390 0.000003 0.002524
4400 0.000002 0.002497
4410 0.000003 0.002503
4420 0.000003 0.002517
4430 0.000003 0.002522
4440 0.000003 0.002536
4450 0.000003 0.002553
4460 0.000003 0.002576
4470 0.000003 0.002574
4480 0.000003 0.002588
4490 0.000003 0.002598
4500 0.000003 0.002607
4510 0.000003 0.002633
4520 0.000003 0.002651
4530 0.000003 0.002647
4540 0.000003 0.002659
4550 0.000003 0.002665
4560 0.000003 0.002678
4570 0.000003 0.002697
4580 0.000003 0.002710
4590 0.000003 0.002720
4600 0.000003 0.002731
4610 0.000003 0.002748
4620 0.000003 0.002755
4630 0.000003 0.002766
4640 0.000003 0.002782
4650 0.000003 0.002788
4660 0.000003 0.002803
4670 0.000003 0.002823
4680 0.000003 0.002828
4690 0.000003 0.002833
4700 0.000003 0.002851
4710 0.000003 0.002861
4720 0.000003 0.002864
4730 0.000003 0.002887
4740 0.000003 0.002901
4750 0.000003 0.002915
4760 0.000003 0.002937
4770 0.000003 0.002939
4780 0.000003 0.002940
4790 0.000003 0.002949
4800 0.000003 0.002966
4810 0.000003 0.002981
4820 0.000003 0.002992
4830 0.000003 0.003000
4840 0.000003 0.003017
4850 0.000003 0.003024
4860 0.000003 0.003036
4870 0.000003 0.003051
4880 0.000003 0.003060
4890 0.000003 0.003076
4900 0.000003 0.003088
4910 0.000003 0.003112
4920 0.000003 0.003112
4930 0.000003 0.003133
4940 0.000003 0.003140
4950 0.000003 0.003157
4960 0.000003 0.003164
4970 0.000003 0.003183
4980 0.000003 0.003195
4990 0.000003 0.003208
5000 0.000003 0.003222
5010 0.000003 0.003232
5020 0.000003 0.003242
5030 0.000003 0.003285
5040 0.000003 0.003257
5050 0.000003 0.003282
5060 0.000004 0.003290
5070 0.000003 0.003302
5080 0.000003 0.003320
5090 0.000003 0.003332
5100 0.000003 0.003338
5110 0.000003 0.003364
5120 0.000003 0.003377
5130 0.000003 0.003379
5140 0.000003 0.003400
5150 0.000003 0.003410
5160 0.000003 0.003425
5170 0.000003 0.003432
5180 0.000003 0.003448
5190 0.000003 0.003456
5200 0.000003 0.003468
5210 0.000003 0.003483
5220 0.000003 0.003494
5230 0.000004 0.003514
5240 0.000003 0.003535
5250 0.000003 0.003537
5260 0.000003 0.003547
5270 0.000003 0.003565
5280 0.000003 0.003576
5290 0.000003 0.003588
5300 0.000003 0.003601
5310 0.000003 0.003614
5320 0.000003 0.003633
5330 0.000003 0.003643
5340 0.000003 0.003655
5350 0.000003 0.003678
5360 0.000003 0.003653
5370 0.000003 0.003699
5380 0.000003 0.003711
5390 0.000003 0.003723
5400 0.000003 0.003738
5410 0.000003 0.003751
5420 0.000003 0.003915
5430 0.000003 0.003818
5440 0.000003 0.003816
5450 0.000003 0.003819
5460 0.000003 0.003828
5470 0.000003 0.003839
5480 0.000004 0.003869
5490 0.000003 0.003887
5500 0.000003 0.003890
5510 0.000003 0.003927
