N  Time  average_ob  max_ob  min_ob 
1600 0.000051 9317.000000 10859 8364 
1610 0.000052 9521.000000 10402 8052 
1620 0.000052 9535.000000 11361 8287 
1630 0.000052 10095.000000 13129 8716 
1640 0.000053 10069.000000 11626 9327 
1650 0.000051 9778.000000 10568 8692 
1660 0.000052 10261.000000 12021 8946 
1670 0.000053 10423.000000 13465 8614 
1680 0.000052 10131.000000 11232 9033 
1690 0.000053 10207.000000 12303 8378 
1700 0.000053 10183.000000 12236 8666 
1710 0.000052 10216.000000 13214 8893 
1720 0.000052 10353.000000 13111 8972 
1730 0.000052 10405.000000 12137 9563 
1740 0.000052 10744.000000 12194 9636 
1750 0.000053 11058.000000 14813 9098 
1760 0.000053 10369.000000 12608 9002 
1770 0.000053 10356.000000 11917 9049 
1780 0.000051 10443.000000 12346 9221 
1790 0.000052 10501.000000 12238 8619 
1800 0.000052 10899.000000 12057 9936 
1810 0.000052 11134.000000 14611 9764 
1820 0.000052 10754.000000 12334 9650 
1830 0.000053 11130.000000 12362 9908 
1840 0.000054 11190.000000 13686 9582 
1850 0.000050 11524.000000 13757 10048 
1860 0.000051 11846.000000 14592 10538 
1870 0.000050 11358.000000 14217 10462 
1880 0.000051 11733.000000 13291 9571 
1890 0.000051 11328.000000 12232 10529 
1900 0.000051 11474.000000 13966 9807 
1910 0.000052 11658.000000 13716 10633 
1920 0.000053 12140.000000 16031 10080 
1930 0.000053 12033.000000 13247 11179 
1940 0.000053 11393.000000 12819 9923 
1950 0.000053 12071.000000 14033 10367 
1960 0.000054 11535.000000 13182 10181 
1970 0.000053 11655.000000 13118 9937 
1980 0.000053 11874.000000 13678 10509 
1990 0.000054 12442.000000 14634 10155 
2000 0.000054 12214.000000 15794 9757 
2010 0.000056 12121.000000 13355 11049 
2020 0.000055 12458.000000 14388 10624 
2030 0.000056 12426.000000 14400 10967 
2040 0.000058 12429.000000 14888 10604 
2050 0.000057 12850.000000 15934 11393 
2060 0.000057 12122.000000 13633 10700 
2070 0.000057 12859.000000 16397 11075 
2080 0.000056 14312.000000 17150 12478 
2090 0.000060 12689.000000 13981 11416 
2100 0.000057 13058.000000 15371 11193 
2110 0.000058 12875.000000 14538 11666 
2120 0.000058 12399.000000 13674 10853 
2130 0.000058 13376.000000 14952 12154 
2140 0.000058 13119.000000 14825 11910 
2150 0.000060 14343.000000 17425 11994 
2160 0.000060 14249.000000 16878 11821 
2170 0.000061 13684.000000 18316 11774 
2180 0.000060 13364.000000 16044 11677 
2190 0.000060 14214.000000 18020 12086 
2200 0.000060 13462.000000 15694 12382 
2210 0.000061 13697.000000 17238 10803 
2220 0.000063 13674.000000 15246 11683 
2230 0.000061 14733.000000 18808 13148 
2240 0.000061 14553.000000 16815 12227 
2250 0.000062 14375.000000 15901 12173 
2260 0.000063 14506.000000 17006 12730 
2270 0.000063 14407.000000 15932 12860 
2280 0.000064 14845.000000 17375 12428 
2290 0.000066 14535.000000 17952 12770 
2300 0.000063 15509.000000 19571 13104 
2310 0.000064 14624.000000 19335 11885 
2320 0.000067 14703.000000 16227 12983 
2330 0.000065 15002.000000 17567 12142 
2340 0.000065 14562.000000 16851 12615 
2350 0.000065 14290.000000 16370 13080 
2360 0.000066 15710.000000 17370 13561 
2370 0.000066 14837.000000 16444 13473 
2380 0.000068 15015.000000 16631 13174 
2390 0.000068 15260.000000 18173 12682 
2400 0.000067 14864.000000 17046 13188 
2410 0.000067 16412.000000 20403 14415 
2420 0.000067 15477.000000 16629 14488 
2430 0.000068 15473.000000 16727 13529 
2440 0.000068 16090.000000 18658 13937 
2450 0.000069 16221.000000 17862 14984 
2460 0.000072 16129.000000 19151 14153 
2470 0.000069 16881.000000 19169 14361 
2480 0.000071 16175.000000 17814 14236 
2490 0.000069 16669.000000 20188 14255 
2500 0.000069 15276.000000 18812 13215 
2510 0.000069 15704.000000 17530 14590 
2520 0.000069 16032.000000 18056 14479 
2530 0.000073 16293.000000 18514 13681 
2540 0.000071 16055.000000 19172 13835 
2550 0.000071 15662.000000 16757 14137 
2560 0.000072 16832.000000 19034 15124 
2570 0.000072 16472.000000 19490 14619 
2580 0.000072 16442.000000 19433 13461 
2590 0.000074 17321.000000 19271 15698 
2600 0.000073 17747.000000 19837 15725 
2610 0.000074 16508.000000 19490 15375 
2620 0.000073 16286.000000 18034 13915 
2630 0.000074 16991.000000 20474 14897 
2640 0.000074 16639.000000 18733 14103 
2650 0.000074 17529.000000 18648 16076 
2660 0.000079 16749.000000 18015 15268 
2670 0.000075 17873.000000 23244 14305 
2680 0.000077 17331.000000 20536 15663 
2690 0.000076 18369.000000 20449 15765 
2700 0.000076 17303.000000 20576 15566 
2710 0.000076 17973.000000 20325 15449 
2720 0.000079 16911.000000 19488 15812 
2730 0.000078 17469.000000 19807 15846 
2740 0.000078 18609.000000 22862 16711 
2750 0.000079 18240.000000 20293 15483 
2760 0.000079 17825.000000 22935 15503 
2770 0.000078 17717.000000 19048 15342 
2780 0.000080 18604.000000 20713 16134 
2790 0.000081 18441.000000 21053 16196 
2800 0.000081 18025.000000 20014 16407 
2810 0.000081 18990.000000 23632 15980 
2820 0.000080 18175.000000 22013 16098 
2830 0.000082 18062.000000 21557 15186 
2840 0.000082 18268.000000 21154 16167 
2850 0.000082 18985.000000 22072 16790 
2860 0.000081 18278.000000 20815 15914 
2870 0.000083 19469.000000 21673 17457 
2880 0.000082 19319.000000 22352 18119 
2890 0.000083 17950.000000 20031 16519 
2900 0.000082 19506.000000 21068 16320 
2910 0.000083 19902.000000 22621 16840 
2920 0.000084 19186.000000 22931 17221 
2930 0.000083 19629.000000 24324 16831 
2940 0.000085 18464.000000 20823 16158 
2950 0.000086 19447.000000 21340 17359 
2960 0.000086 19190.000000 22108 16484 
2970 0.000087 19326.000000 22972 17483 
2980 0.000085 20104.000000 21873 18223 
2990 0.000086 20186.000000 22449 16986 
3000 0.000087 20508.000000 23355 18286 
3010 0.000086 20135.000000 23570 17360 
3020 0.000088 19412.000000 20536 17019 
3030 0.000087 19809.000000 24237 17164 
3040 0.000089 19884.000000 21743 16951 
3050 0.000087 19995.000000 22356 18172 
3060 0.000089 19695.000000 23459 16169 
3070 0.000088 20938.000000 25550 18576 
3080 0.000090 20088.000000 22222 18731 
3090 0.000088 21108.000000 25051 17446 
3100 0.000090 19825.000000 23656 18095 
3110 0.000090 20793.000000 24221 18909 
3120 0.000092 20968.000000 24247 17921 
3130 0.000089 20572.000000 24454 19083 
3140 0.000090 21873.000000 30192 18164 
3150 0.000090 21265.000000 24489 17854 
3160 0.000092 21828.000000 27247 17625 
