N  Time  average_ob  max_ob  min_ob 
1000 0.000573 500500.000000 1000 1 
1001 0.000479 501501.000000 1001 1 
1002 0.000460 502503.000000 1002 1 
1003 0.000524 503506.000000 1003 1 
1004 0.000458 504510.000000 1004 1 
1005 0.000492 505515.000000 1005 1 
1006 0.000459 506521.000000 1006 1 
1007 0.000532 507528.000000 1007 1 
1008 0.000416 508536.000000 1008 1 
1009 0.000400 509545.000000 1009 1 
1010 0.000381 510555.000000 1010 1 
1011 0.000412 511566.000000 1011 1 
1012 0.000369 512578.000000 1012 1 
1013 0.000372 513591.000000 1013 1 
1014 0.000397 514605.000000 1014 1 
1015 0.000368 515620.000000 1015 1 
1016 0.000383 516636.000000 1016 1 
1017 0.000370 517653.000000 1017 1 
1018 0.000317 518671.000000 1018 1 
1019 0.000342 519690.000000 1019 1 
1020 0.000318 520710.000000 1020 1 
1021 0.000319 521731.000000 1021 1 
1022 0.000333 522753.000000 1022 1 
1023 0.000324 523776.000000 1023 1 
1024 0.000323 524800.000000 1024 1 
1025 0.000339 525825.000000 1025 1 
1026 0.000387 526851.000000 1026 1 
1027 0.000406 527878.000000 1027 1 
1028 0.000324 528906.000000 1028 1 
1029 0.000292 529935.000000 1029 1 
1030 0.000327 530965.000000 1030 1 
1031 0.000286 531996.000000 1031 1 
1032 0.000364 533028.000000 1032 1 
1033 0.000318 534061.000000 1033 1 
1034 0.000288 535095.000000 1034 1 
1035 0.000285 536130.000000 1035 1 
1036 0.000297 537166.000000 1036 1 
1037 0.000285 538203.000000 1037 1 
1038 0.000295 539241.000000 1038 1 
1039 0.000298 540280.000000 1039 1 
1040 0.000288 541320.000000 1040 1 
1041 0.000266 542361.000000 1041 1 
1042 0.000257 543403.000000 1042 1 
1043 0.000266 544446.000000 1043 1 
1044 0.000257 545490.000000 1044 1 
1045 0.000258 546535.000000 1045 1 
1046 0.000267 547581.000000 1046 1 
1047 0.000341 548628.000000 1047 1 
1048 0.000261 549676.000000 1048 1 
1049 0.000264 550725.000000 1049 1 
1050 0.000386 551775.000000 1050 1 
1051 0.000296 552826.000000 1051 1 
1052 0.000302 553878.000000 1052 1 
1053 0.000361 554931.000000 1053 1 
1054 0.000469 555985.000000 1054 1 
1055 0.000444 557040.000000 1055 1 
1056 0.000404 558096.000000 1056 1 
1057 0.000415 559153.000000 1057 1 
1058 0.000440 560211.000000 1058 1 
1059 0.000414 561270.000000 1059 1 
1060 0.000401 562330.000000 1060 1 
1061 0.000413 563391.000000 1061 1 
1062 0.000392 564453.000000 1062 1 
1063 0.000340 565516.000000 1063 1 
