N  Time  average_ob  max_ob  min_ob 
1000 0.0000000317 9.2216900000 10 2 
1100 0.0000000327 9.4508818182 11 2 
1200 0.0000000287 9.4873083333 11 1 
1300 0.0000000547 9.6315461538 11 1 
1400 0.0000000304 9.6444500000 11 2 
1500 0.0000000302 9.6864533333 11 1 
1600 0.0000000308 10.1144500000 11 1 
1700 0.0000000242 10.1274235294 11 2 
1800 0.0000000221 10.2038833333 11 3 
1900 0.0000000234 10.2014263158 11 3 
2000 0.0000000219 10.2268650000 11 2 
2100 0.0000000200 10.4343095238 12 2 
2200 0.0000000190 10.4419090909 12 3 
2300 0.0000000179 10.4539043478 12 2 
2400 0.0000000171 10.4851166667 12 2 
2500 0.0000000163 10.5049040000 12 1 
2600 0.0000000158 10.6286846154 12 3 
2700 0.0000000163 10.6398185185 12 2 
2800 0.0000000158 10.6419392857 12 3 
2900 0.0000000159 10.6753206897 12 3 
3000 0.0000000162 10.6834300000 12 1 
3100 0.0000000160 11.1122580645 12 3 
3200 0.0000000161 11.1141750000 12 3 
3300 0.0000000162 11.1172454545 12 3 
3400 0.0000000164 11.1337558824 12 1 
3500 0.0000000164 11.1348400000 12 2 
3600 0.0000000164 11.2022055556 12 1 
3700 0.0000000163 11.2034810811 12 3 
3800 0.0000000162 11.2057105263 12 3 
3900 0.0000000163 11.2236384615 12 2 
4000 0.0000000164 11.2236200000 12 3 
4100 0.0000000164 11.4325243902 12 4 
4200 0.0000000163 11.4348190476 13 3 
4300 0.0000000163 11.4355488372 13 3 
4400 0.0000000163 11.4468068182 13 4 
4500 0.0000000164 11.4490888889 13 3 
4600 0.0000000164 11.4524065217 13 3 
4700 0.0000000166 11.4862957447 13 2 
4800 0.0000000166 11.4906166667 13 3 
4900 0.0000000166 11.5009489796 13 2 
5000 0.0000000166 11.5050820000 13 3 
5100 0.0000000166 11.5042333333 13 4 
5200 0.0000000169 11.6319076923 13 4 
5300 0.0000000170 11.6320415094 13 3 
5400 0.0000000169 11.6395796296 13 2 
5500 0.0000000170 11.6408000000 13 4 
5600 0.0000000170 11.6442410714 13 3 
5700 0.0000000169 11.6762473684 13 2 
5800 0.0000000169 11.6737189655 13 3 
5900 0.0000000171 11.6855033898 13 3 
6000 0.0000000170 11.6855966667 13 3 
6100 0.0000000170 11.6865934426 13 4 
6200 0.0000000172 12.1106370968 13 2 
6300 0.0000000172 12.1117158730 13 3 
6400 0.0000000172 12.1146593750 13 4 
6500 0.0000000172 12.1158692308 13 3 
6600 0.0000000173 12.1174787879 13 2 
6700 0.0000000173 12.1269910448 13 2 
6800 0.0000000173 12.1294338235 13 3 
6900 0.0000000173 12.1283753623 13 4 
7000 0.0000000174 12.1366414286 13 3 
7100 0.0000000173 12.1361281690 13 3 
7200 0.0000000175 12.2013000000 13 3 
7300 0.0000000175 12.2009890411 13 1 
7400 0.0000000175 12.2017297297 13 3 
7500 0.0000000176 12.2044240000 13 2 
7600 0.0000000175 12.2059223684 13 2 
7700 0.0000000175 12.2191649351 13 4 
7800 0.0000000175 12.2196910256 13 3 
7900 0.0000000175 12.2208506329 13 3 
8000 0.0000000175 12.2245162500 13 2 
8100 0.0000000175 12.2263382716 13 3 
8200 0.0000000176 12.4325256098 14 3 
8300 0.0000000176 12.4333855422 14 3 
8400 0.0000000176 12.4338559524 14 3 
8500 0.0000000176 12.4357188235 14 4 
8600 0.0000000176 12.4389406977 14 1 
8700 0.0000000176 12.4384873563 14 4 
8800 0.0000000177 12.4456909091 14 4 
8900 0.0000000176 12.4471415730 14 3 
9000 0.0000000176 12.4486266667 14 4 
9100 0.0000000177 12.4513879121 14 3 
9200 0.0000000176 12.4512913043 14 1 
9300 0.0000000178 12.4847096774 14 3 
9400 0.0000000177 12.4863031915 14 3 
9500 0.0000000177 12.4888673684 14 4 
9600 0.0000000177 12.4901541667 14 2 
9700 0.0000000177 12.4898195876 14 3 
9800 0.0000000177 12.4997000000 14 3 
9900 0.0000000178 12.5006333333 14 3 
10000 0.0000000177 12.5051090000 14 4 
