N  Time  average_ob  max_ob  min_ob 
1000 0.0000028290 438.8290000000 988 1 
1100 0.0000021045 508.7863636364 1083 1 
1200 0.0000014717 349.0216666667 1200 1 
1300 0.0000011554 270.3276923077 1289 1 
1400 0.0000012686 300.4028571429 1371 1 
1500 0.0000031267 676.6413333333 1498 17 
1600 0.0000014494 343.1262500000 1596 1 
1700 0.0000028747 627.4552941176 1693 1 
1800 0.0000017806 442.8416666667 1777 1 
1900 0.0000029321 707.6794736842 1876 1 
2000 0.0000026265 579.6730000000 1988 1 
2100 0.0000032852 808.7752380952 2072 1 
2200 0.0000029805 674.3872727273 2194 1 
2300 0.0000050283 1224.1300000000 2291 65 
2400 0.0000031204 716.0412500000 2232 1 
2500 0.0000036504 924.9900000000 2466 1 
2600 0.0000066219 1552.8457692308 2584 1 
2700 0.0000047704 1155.1144444444 2695 23 
2800 0.0000031461 770.5371428571 2793 1 
2900 0.0000036207 863.0037931034 2891 1 
3000 0.0000075510 1804.5550000000 2970 1 
3100 0.0000031058 783.0525806452 3099 1 
3200 0.0000026428 602.8781250000 3199 1 
3300 0.0000044130 1070.7869696970 3298 1 
3400 0.0000053776 1316.5700000000 3397 1 
3500 0.0000030929 721.0120000000 3486 1 
3600 0.0000064144 1603.8363888889 3565 1 
3700 0.0000082486 2018.0405405405 3683 6 
3800 0.0000060126 1443.3228947368 3794 1 
3900 0.0000042008 1020.0697435897 3900 1 
4000 0.0000077307 1889.4445000000 3976 53 
4100 0.0000054759 1332.6021951220 4054 1 
4200 0.0000064505 1575.9992857143 4145 1 
4300 0.0000061321 1497.8274418605 4282 1 
4400 0.0000082105 2060.6131818182 4400 1 
4500 0.0000087329 2150.7275555556 4474 1 
4600 0.0000073711 1792.7926086957 4546 9 
4700 0.0000091766 2245.1080851064 4674 1 
4800 0.0000097231 2432.1008333333 4769 1 
4900 0.0000050990 1268.7193877551 4837 1 
5000 0.0000113938 2874.0120000000 4981 121 
5100 0.0000087067 2177.1517647059 5044 1 
5200 0.0000041333 1006.6819230769 5141 1 
5300 0.0000117942 2989.1362264151 5280 96 
5400 0.0000099341 2500.8587037037 5392 1 
5500 0.0000105715 2662.1758181818 5491 95 
5600 0.0000115393 2902.4185714286 5552 1 
5700 0.0000075368 1872.5608771930 5653 1 
5800 0.0000126083 3186.8896551724 5662 52 
5900 0.0000096663 2425.1972881356 5885 1 
6000 0.0000167512 4222.7618333333 5938 29 
6100 0.0000103754 2618.5873770492 6081 1 
6200 0.0000083545 2101.5729032258 6115 2 
6300 0.0000076424 1915.5141269841 6234 1 
6400 0.0000117092 2955.6050000000 6381 1 
6500 0.0000100409 2509.7487692308 6454 1 
6600 0.0000108023 2730.1242424242 6572 1 
6700 0.0000095891 2418.9571641791 6697 1 
6800 0.0000154771 3901.7626470588 6785 41 
6900 0.0000069362 1725.4450724638 6886 1 
7000 0.0000107564 2745.6714285714 6958 1 
7100 0.0000129575 3274.6343661972 6986 1 
7200 0.0000108626 2732.3266666667 7135 1 
7300 0.0000143670 3659.8231506849 7292 1 
7400 0.0000179641 4584.7806756757 7379 1 
7500 0.0000119107 3017.6872000000 7500 5 
7600 0.0000145259 3662.7339473684 7498 1 
7700 0.0000078455 1992.0271428571 7638 1 
7800 0.0000130119 3329.3897435897 7793 29 
7900 0.0000091457 2319.2887341772 7850 1 
8000 0.0000101951 2614.4385000000 7962 1 
8100 0.0000158304 4026.5381481481 8041 1 
8200 0.0000208217 4804.2630487805 8190 17 
8300 0.0000132582 3051.0660240964 8281 23 
8400 0.0000137917 3475.5660714286 8363 61 
8500 0.0000114001 2913.6724705882 8479 1 
8600 0.0000188664 4829.5386046512 8398 28 
8700 0.0000100031 2475.8447126437 8429 1 
8800 0.0000089227 2196.4448863636 8694 1 
8900 0.0000232201 5756.0598876404 8858 1 
9000 0.0000127733 3068.7048888889 8931 1 
9100 0.0000197307 4645.0905494505 9070 204 
9200 0.0000184949 4292.7946739130 9161 1 
9300 0.0000045591 1028.9860215054 9136 1 
9400 0.0000280274 6505.8788297872 9355 13 
9500 0.0000237386 5500.3211578947 9435 24 
9600 0.0000196936 4564.7288541667 9560 53 
9700 0.0000119729 2760.2429896907 9628 1 
9800 0.0000205477 4764.7829591837 9619 1 
9900 0.0000213786 4960.0788888889 9818 17 
10000 0.0000108134 2503.8477000000 9968 1 
