N  Time  average_ob  max_ob  min_ob 
1000 0.0000003870 362.2070000000 984 20 
1100 0.0000002773 240.6381818182 1081 1 
1200 0.0000002667 318.2641666667 1145 1 
1300 0.0000003185 360.5246153846 1298 1 
1400 0.0000004564 552.0121428571 1368 1 
1500 0.0000004673 526.3633333333 1454 1 
1600 0.0000007450 868.7781250000 1570 21 
1700 0.0000002588 252.7670588235 1661 1 
1800 0.0000005861 771.5883333333 1793 8 
1900 0.0000006674 862.5268421053 1889 5 
2000 0.0000003300 420.5415000000 1982 1 
2100 0.0000005881 574.1742857143 2094 1 
2200 0.0000008814 656.4518181818 2171 1 
2300 0.0000011526 948.5291304348 2279 1 
2400 0.0000016746 1498.8058333333 2390 64 
2500 0.0000012036 1090.1604000000 2499 1 
2600 0.0000012850 1239.2434615385 2597 35 
2700 0.0000018600 1829.1992592593 2648 11 
2800 0.0000013179 1517.6117857143 2784 89 
2900 0.0000006010 696.4027586207 2899 1 
3000 0.0000010033 1256.7486666667 2986 1 
3100 0.0000013884 1801.2238709677 3098 7 
3200 0.0000007000 992.3371875000 3164 1 
3300 0.0000013461 1955.4706060606 3233 11 
3400 0.0000008088 1250.4661764706 3392 1 
3500 0.0000009434 1543.6628571429 3438 41 
3600 0.0000008211 1403.9933333333 3565 8 
3700 0.0000008478 1501.7770270270 3654 1 
3800 0.0000009345 1695.6250000000 3779 1 
3900 0.0000012767 2429.1951282051 3844 115 
4000 0.0000010552 2119.2110000000 3995 6 
4100 0.0000007688 1541.5917073171 4081 27 
4200 0.0000008940 1883.5978571429 4191 1 
4300 0.0000010781 2363.7488372093 4181 1 
4400 0.0000008123 1774.5411363636 4391 1 
4500 0.0000004647 1037.2113333333 4478 1 
4600 0.0000005259 1167.5969565217 4594 1 
4700 0.0000006960 1538.4165957447 4686 1 
4800 0.0000010869 2392.1158333333 4796 20 
4900 0.0000006573 1452.0765306122 4895 1 
5000 0.0000007276 1606.9710000000 4933 1 
5100 0.0000012978 2872.8774509804 5057 116 
5200 0.0000010123 2219.6851923077 5157 9 
5300 0.0000009136 2020.6639622642 5291 1 
5400 0.0000009431 2096.3729629630 5345 89 
5500 0.0000010764 2386.1863636364 5417 26 
5600 0.0000009950 2208.9933928571 5387 17 
5700 0.0000008551 1888.3301754386 5675 1 
5800 0.0000013564 2992.2918965517 5704 25 
5900 0.0000009717 2142.2028813559 5864 1 
6000 0.0000006577 1448.5956666667 5971 1 
6100 0.0000008479 1870.5559016393 6059 1 
6200 0.0000008119 1804.7850000000 6195 9 
6300 0.0000010438 2306.7898412698 6244 1 
6400 0.0000009147 2025.0579687500 6342 1 
6500 0.0000010743 2381.5024615385 6456 1 
6600 0.0000012236 2719.4462121212 6557 34 
6700 0.0000014682 3248.1141791045 6694 1 
6800 0.0000018271 4041.5513235294 6785 125 
6900 0.0000008499 1871.3411594203 6893 1 
7000 0.0000016006 3547.3028571429 6980 5 
7100 0.0000014085 3111.0577464789 7070 1 
7200 0.0000009972 2215.2434722222 7189 1 
7300 0.0000009084 2007.5319178082 7269 1 
7400 0.0000018050 3995.4504054054 7294 202 
7500 0.0000010224 2271.6081333333 7458 1 
7600 0.0000019284 4271.0352631579 7517 52 
7700 0.0000015891 3518.8481818182 7683 1 
7800 0.0000021576 4763.5950000000 7798 1 
7900 0.0000013061 2892.8278481013 7836 1 
8000 0.0000012609 2789.9915000000 7982 1 
8100 0.0000011059 2447.7732098765 7954 1 
8200 0.0000017534 3885.5718292683 8144 26 
8300 0.0000014776 3268.0889156627 8218 19 
8400 0.0000015239 3371.9539285714 8383 1 
8500 0.0000015824 3496.9925882353 8442 1 
8600 0.0000013797 3059.5280232558 8570 1 
8700 0.0000014248 3146.1377011494 8677 1 
8800 0.0000021018 4647.7290909091 8756 9 
8900 0.0000015424 3412.7361797753 8888 1 
9000 0.0000015158 3355.9920000000 8885 1 
9100 0.0000019343 4281.3991208791 9098 55 
9200 0.0000014320 3174.5930434783 9112 102 
9300 0.0000028994 6409.2615053763 9240 138 
9400 0.0000018814 4164.1842553191 9351 12 
9500 0.0000016821 3718.1800000000 9469 1 
9600 0.0000021365 4705.9036458333 9573 76 
9700 0.0000013655 3013.5770103093 9675 1 
9800 0.0000019529 4299.3137755102 9761 133 
9900 0.0000018068 3943.1818181818 9830 1 
10000 0.0000009883 2155.2301000000 9995 1 
